이름,위도,경도,구,최근역,백명점장르,최신연도,타베로그점수,리뷰수,타베로그,구글지도
炭焼 うな富士 有楽町店,35.670337,139.759027,주오구,内幸町駅,장어,2026,3.69,2864,https://tabelog.com/tokyo/A1301/A130103/13250032/,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%84%BC%20%E3%81%86%E3%81%AA%E5%AF%8C%E5%A3%AB%20%E6%9C%89%E6%A5%BD%E7%94%BA%E5%BA%97%20%E5%86%85%E5%B9%B8%E7%94%BA%E9%A7%85
八重洲鰻はし本,35.681657,139.771288,주오구,日本橋駅,장어,2026,3.93,298,https://tabelog.com/tokyo/A1302/A130202/13303042/,https://www.google.com/maps/search/?api=1&query=%E5%85%AB%E9%87%8D%E6%B4%B2%E9%B0%BB%E3%81%AF%E3%81%97%E6%9C%AC%20%E6%97%A5%E6%9C%AC%E6%A9%8B%E9%A7%85
うなぎ 丸富,35.610697,139.744545,시나가와구,青物横丁駅,장어,2026,3.65,670,https://tabelog.com/tokyo/A1315/A131501/13026638/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%20%E4%B8%B8%E5%AF%8C%20%E9%9D%92%E7%89%A9%E6%A8%AA%E4%B8%81%E9%A7%85
鰻禅,35.708845,139.805722,스미다구,本所吾妻橋駅,장어,2026,3.76,983,https://tabelog.com/tokyo/A1312/A131203/13058979/,https://www.google.com/maps/search/?api=1&query=%E9%B0%BB%E7%A6%85%20%E6%9C%AC%E6%89%80%E5%90%BE%E5%A6%BB%E6%A9%8B%E9%A7%85
石ばし,35.709281,139.738477,분쿄구,江戸川橋駅,장어,2026,3.77,676,https://tabelog.com/tokyo/A1309/A130905/13003531/,https://www.google.com/maps/search/?api=1&query=%E7%9F%B3%E3%81%B0%E3%81%97%20%E6%B1%9F%E6%88%B8%E5%B7%9D%E6%A9%8B%E9%A7%85
かぶと,35.733764,139.709041,도시마구,池袋駅,장어,2026,4.41,1382,https://tabelog.com/tokyo/A1305/A130501/13016660/,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%B6%E3%81%A8%20%E6%B1%A0%E8%A2%8B%E9%A7%85
鰻家,35.728065,139.682273,도시마구,東長崎駅,장어,2026,3.77,1083,https://tabelog.com/tokyo/A1321/A132101/13012445/,https://www.google.com/maps/search/?api=1&query=%E9%B0%BB%E5%AE%B6%20%E6%9D%B1%E9%95%B7%E5%B4%8E%E9%A7%85
初小川,35.709764,139.794536,다이토구,浅草（東武・都営・メトロ）駅,장어,2026,3.75,797,https://tabelog.com/tokyo/A1311/A131102/13003702/,https://www.google.com/maps/search/?api=1&query=%E5%88%9D%E5%B0%8F%E5%B7%9D%20%E6%B5%85%E8%8D%89%EF%BC%88%E6%9D%B1%E6%AD%A6%E3%83%BB%E9%83%BD%E5%96%B6%E3%83%BB%E3%83%A1%E3%83%88%E3%83%AD%EF%BC%89%E9%A7%85
はし本,35.709366,139.736354,분쿄구,江戸川橋駅,장어,2026,3.74,933,https://tabelog.com/tokyo/A1309/A130905/13018616/,https://www.google.com/maps/search/?api=1&query=%E3%81%AF%E3%81%97%E6%9C%AC%20%E6%B1%9F%E6%88%B8%E5%B7%9D%E6%A9%8B%E9%A7%85
うなぎ 魚政,35.732086,139.835555,가쓰시카구,四ツ木駅,장어,2026,4.26,1244,https://tabelog.com/tokyo/A1324/A132403/13035339/,https://www.google.com/maps/search/?api=1&query=%E3%81%86%E3%81%AA%E3%81%8E%20%E9%AD%9A%E6%94%BF%20%E5%9B%9B%E3%83%84%E6%9C%A8%E9%A7%85
日本橋いづもや,35.68783,139.770964,주오구,新日本橋駅,장어,2026,3.67,473,https://tabelog.com/tokyo/A1302/A130202/13011198/,https://www.google.com/maps/search/?api=1&query=%E6%97%A5%E6%9C%AC%E6%A9%8B%E3%81%84%E3%81%A5%E3%82%82%E3%82%84%20%E6%96%B0%E6%97%A5%E6%9C%AC%E6%A9%8B%E9%A7%85
トロ コーヒーアンドベーカリー,35.658958,139.662736,세타가야구,世田谷代田駅,빵,2026,3.71,658,https://tabelog.com/tokyo/A1318/A131812/13118819/,https://www.google.com/maps/search/?api=1&query=%E3%83%88%E3%83%AD%20%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%E3%82%A2%E3%83%B3%E3%83%89%E3%83%99%E3%83%BC%E3%82%AB%E3%83%AA%E3%83%BC%20%E4%B8%96%E7%94%B0%E8%B0%B7%E4%BB%A3%E7%94%B0%E9%A7%85
ブーランジェリーブルディガラ 広尾本店,35.65109,139.723719,미나토구,広尾駅,빵,2026,3.75,1009,https://tabelog.com/tokyo/A1307/A130703/13000523/,https://www.google.com/maps/search/?api=1&query=%E3%83%96%E3%83%BC%E3%83%A9%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%BC%E3%83%96%E3%83%AB%E3%83%87%E3%82%A3%E3%82%AC%E3%83%A9%20%E5%BA%83%E5%B0%BE%E6%9C%AC%E5%BA%97%20%E5%BA%83%E5%B0%BE%E9%A7%85
エムサイズ,35.6285,139.688775,메구로구,学芸大学駅,빵,2026,3.74,664,https://tabelog.com/tokyo/A1317/A131702/13024601/,https://www.google.com/maps/search/?api=1&query=%E3%82%A8%E3%83%A0%E3%82%B5%E3%82%A4%E3%82%BA%20%E5%AD%A6%E8%8A%B8%E5%A4%A7%E5%AD%A6%E9%A7%85
モンシェール 東陽町工場,35.671499,139.813953,고토구,東陽町駅,빵,2026,3.72,1071,https://tabelog.com/tokyo/A1313/A131303/13024396/,https://www.google.com/maps/search/?api=1&query=%E3%83%A2%E3%83%B3%E3%82%B7%E3%82%A7%E3%83%BC%E3%83%AB%20%E6%9D%B1%E9%99%BD%E7%94%BA%E5%B7%A5%E5%A0%B4%20%E6%9D%B1%E9%99%BD%E7%94%BA%E9%A7%85
マニュファクチュア,35.71236,139.799484,다이토구,浅草（東武・都営・メトロ）駅,빵,2026,3.71,648,https://tabelog.com/tokyo/A1311/A131102/13180700/,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%83%8B%E3%83%A5%E3%83%95%E3%82%A1%E3%82%AF%E3%83%81%E3%83%A5%E3%82%A2%20%E6%B5%85%E8%8D%89%EF%BC%88%E6%9D%B1%E6%AD%A6%E3%83%BB%E9%83%BD%E5%96%B6%E3%83%BB%E3%83%A1%E3%83%88%E3%83%AD%EF%BC%89%E9%A7%85
テコナ　ベーグルワークス,35.668739,139.689115,시부야구,代々木八幡駅,빵,2026,3.78,1374,https://tabelog.com/tokyo/A1318/A131810/13061492/,https://www.google.com/maps/search/?api=1&query=%E3%83%86%E3%82%B3%E3%83%8A%E3%80%80%E3%83%99%E3%83%BC%E3%82%B0%E3%83%AB%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B9%20%E4%BB%A3%E3%80%85%E6%9C%A8%E5%85%AB%E5%B9%A1%E9%A7%85
下田流,35.791124,139.658046,이타바시구,新高島平駅,빵,2026,3.86,456,https://tabelog.com/tokyo/A1322/A132205/13263179/,https://www.google.com/maps/search/?api=1&query=%E4%B8%8B%E7%94%B0%E6%B5%81%20%E6%96%B0%E9%AB%98%E5%B3%B6%E5%B9%B3%E9%A7%85
リベルテ・パティスリー・ブーランジェリー 東京本店・吉祥寺,35.705885,139.577325,武蔵野구,吉祥寺駅,빵,2026,3.75,1658,https://tabelog.com/tokyo/A1320/A132001/13219660/,https://www.google.com/maps/search/?api=1&query=%E3%83%AA%E3%83%99%E3%83%AB%E3%83%86%E3%83%BB%E3%83%91%E3%83%86%E3%82%A3%E3%82%B9%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%96%E3%83%BC%E3%83%A9%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%BC%20%E6%9D%B1%E4%BA%AC%E6%9C%AC%E5%BA%97%E3%83%BB%E5%90%89%E7%A5%A5%E5%AF%BA%20%E5%90%89%E7%A5%A5%E5%AF%BA%E9%A7%85
ル・グルニエ・ア・パン 麹町店,35.685647,139.74175,지요다구,半蔵門駅,빵,2026,3.78,1289,https://tabelog.com/tokyo/A1308/A130803/13011374/,https://www.google.com/maps/search/?api=1&query=%E3%83%AB%E3%83%BB%E3%82%B0%E3%83%AB%E3%83%8B%E3%82%A8%E3%83%BB%E3%82%A2%E3%83%BB%E3%83%91%E3%83%B3%20%E9%BA%B9%E7%94%BA%E5%BA%97%20%E5%8D%8A%E8%94%B5%E9%96%80%E9%A7%85
